Impression ID,User ID,Date,News1,Impression_News1,News2,Impression_News2,News3,Impression_News3
3925,U13559,11/11/2019,N13930,0,N53585,1,N55689,0
3935,U27736,11/10/2019,N64513,0,N49279,1,N21882,0
3954,U3321,11/10/2019,N57651,0,N49685,1,N36681,0
3997,U58147,11/11/2019,N55689,0,N6693,0,N35729,1
4067,U30242,11/9/2019 ,N2389,0,N41881,1,N27845,0
4081,U48154,11/14/2019,N50872,0,N40109,1,N12330,0
4095,U71584,11/10/2019,N49279,1,N61022,0,N21882,0
4130,U82376,11/10/2019,N28047,0,N29128,0,N49685,1
4138,U67288,11/12/2019,N453,0,N50675,0,N33619,1
4169,U9837,11/13/2019,N64094,0,N51048,0,N39010,1
4194,U20833,11/11/2019,N45375,1,N2878,0,N33848,0
4199,U86890,11/11/2019,N23414,0,N55689,0,N13930,1
4237,U13451,11/11/2019,N54489,0,N46029,1,N23414,0
4246,U6801,11/10/2019,N57651,0,N36681,0,N49685,1
4378,U10149,11/11/2019,N55689,0,N53585,1,N55204,0
4442,U73001,11/10/2019,N61022,0,N49279,1,N44651,0
4450,U93005,11/14/2019,N64174,1,N10552,0,N8015,0
4565,U53321,11/11/2019,N33619,1,N23429,0,N50675,0
4619,U81558,11/10/2019,N49685,1,N28047,0,N29128,0
4632,U27289,11/14/2019,N46917,0,N47280,0,N60750,1
4655,U72708,11/10/2019,N44651,0,N61022,0,N49279,1
4680,U71505,11/11/2019,N55204,0,N54489,1,N21479,0
4746,U17832,11/10/2019,N49685,1,N57651,0,N36681,0
4760,U41475,11/11/2019,N55689,1,N61623,0,N11830,0
4782,U88525,11/10/2019,N44651,0,N49279,1,N61022,0
4794,U58141,11/10/2019,N57651,0,N49685,1,N36681,0
4795,U42847,11/11/2019,N7809,0,N35729,1,N59981,0
4842,U93117,11/11/2019,N7809,0,N55689,0,N35729,1
4865,U17290,11/9/2019 ,N41881,1,N27845,0,N51398,0
4872,U74495,11/10/2019,N57651,0,N49685,1,N36681,0
4895,U76031,11/11/2019,N50675,0,N23429,0,N33619,1
5021,U49863,11/14/2019,N23446,1,N6578,0,N45523,0
5048,U72619,11/14/2019,N41934,0,N61233,0,N61740,1
5084,U34493,11/13/2019,N47061,0,N17059,0,N48063,1
5098,U25814,11/10/2019,N44651,0,N49279,1,N61022,0
5147,U71896,11/12/2019,N7319,0,N52122,1,N28495,0
5168,U47021,11/11/2019,N53585,0,N23414,1,N55689,0
5205,U26942,11/11/2019,N55689,0,N53585,1,N55204,0
5219,U87580,11/13/2019,N42457,0,N64252,1,N51048,0
5286,U21140,11/11/2019,N55689,0,N55204,0,N53585,1
5309,U46954,11/11/2019,N13930,1,N55204,0,N55689,0
5358,U68492,11/12/2019,N20495,1,N39317,0,N7821,0
5391,U71569,11/14/2019,N57403,0,N47195,0,N60750,1
5418,U5806,11/11/2019,N55204,0,N2878,0,N52622,1
5495,U42331,11/9/2019 ,N36752,0,N1034,1,N47020,0
5545,U72386,11/11/2019,N23414,1,N54489,0,N46029,0
5622,U34518,11/11/2019,N13930,0,N53585,1,N55689,0
5655,U78438,11/10/2019,N49279,1,N61022,0,N21882,0
5693,U8482,11/10/2019,N44651,0,N61022,0,N49279,1
5818,U23782,11/12/2019,N41020,1,N49180,0,N33619,0
5829,U62311,11/10/2019,N61022,0,N49279,1,N44651,0
5830,U6933,11/11/2019,N55689,0,N23414,1,N53585,0
5869,U38310,11/14/2019,N33828,0,N14478,0,N61233,1
5875,U54166,11/9/2019 ,N27845,0,N41881,1,N3491,0
5883,U18674,11/12/2019,N41020,0,N33619,1,N7319,0
5910,U21954,11/13/2019,N33831,0,N56214,1,N4642,0
5968,U12263,11/12/2019,N58363,1,N63970,0,N64851,0
5978,U8392,11/11/2019,N46029,0,N54489,1,N23414,0
5981,U81876,11/9/2019 ,N51398,0,N41881,1,N47020,0
6045,U28145,11/11/2019,N55204,0,N55689,1,N13930,0
6065,U36007,11/10/2019,N44651,0,N49279,1,N61022,0
6232,U89195,11/9/2019 ,N1034,1,N36752,0,N47020,0
6279,U79705,11/12/2019,N7319,0,N50675,0,N33619,1
6373,U80219,11/9/2019 ,N51398,0,N47020,0,N41881,1
6420,U12612,11/11/2019,N43789,0,N12109,1,N6379,0
6434,U18799,11/11/2019,N45270,0,N55689,0,N53585,1
6491,U1494,11/10/2019,N49685,1,N36681,0,N57651,0
6542,U60260,11/14/2019,N52424,0,N61233,1,N9944,0
6560,U25821,11/13/2019,N4642,0,N56214,1,N64252,0
6606,U39587,11/11/2019,N53585,1,N55689,1,N13930,0
6625,U29188,11/10/2019,N21882,0,N61022,0,N49279,1
6638,U11593,11/11/2019,N55689,0,N23414,1,N13930,0
6649,U93143,11/10/2019,N57097,1,N61022,0,N21882,0
6697,U53397,11/10/2019,N49279,1,N44651,0,N61022,0
6713,U92295,11/14/2019,N40109,0,N52424,0,N19661,1
6725,U91761,11/11/2019,N6693,0,N55689,1,N16804,0
6731,U66889,11/9/2019 ,N65185,1,N1034,0,N47020,0
6770,U40204,11/11/2019,N13930,1,N55689,0,N23414,0
6829,U24652,11/10/2019,N44651,0,N61022,0,N49279,1
6884,U13887,11/9/2019 ,N41881,1,N27845,0,N51398,0
6890,U6511,11/9/2019 ,N36752,0,N47020,0,N1034,1
6902,U20777,11/13/2019,N287,0,N23184,1,N51048,0
7023,U79741,11/10/2019,N44651,0,N49279,1,N61022,0
7026,U3186,11/11/2019,N55689,0,N13930,0,N53585,1
7075,U28192,11/11/2019,N23414,1,N46526,0,N54489,0
7115,U30284,11/9/2019 ,N65185,1,N47020,0,N1034,0
7136,U37794,11/13/2019,N28523,0,N51048,1,N25295,0
7206,U32774,11/11/2019,N53585,1,N55689,0,N43502,0
7267,U43938,11/9/2019 ,N51398,0,N47020,0,N41881,1
7364,U92553,11/10/2019,N61022,0,N44651,0,N49279,1
7384,U86503,11/13/2019,N4642,0,N51048,1,N56214,0
7489,U76516,11/9/2019 ,N51398,0,N27845,0,N41881,1
7536,U10487,11/13/2019,N42457,0,N56214,1,N61787,0
7558,U7031,11/10/2019,N49279,1,N44651,0,N61022,0
7582,U51714,11/10/2019,N64542,0,N62093,0,N49685,1
7603,U4169,11/10/2019,N57651,0,N49685,1,N36681,0
7655,U88722,11/11/2019,N13930,0,N55689,0,N23414,1
7674,U93669,11/11/2019,N8191,0,N46526,0,N54489,1
7687,U30133,11/14/2019,N50872,0,N3243,0,N35815,1
7788,U73557,11/9/2019 ,N65185,1,N47020,0,N1034,0
7881,U78325,11/10/2019,N61022,0,N61768,1,N57097,0
7910,U91788,11/11/2019,N55204,0,N55689,1,N45270,0
7945,U19146,11/10/2019,N61022,0,N49279,1,N44651,0
8086,U34089,11/10/2019,N36681,0,N49685,1,N57651,0
8090,U38987,11/9/2019 ,N47020,0,N36752,0,N1034,1
8094,U35482,11/10/2019,N49685,1,N36681,0,N57651,0
8109,U84831,11/11/2019,N23429,1,N50675,0,N33619,0
8144,U87560,11/10/2019,N61022,0,N44651,0,N49279,1
8232,U80722,11/11/2019,N3179,0,N18708,1,N64152,0
8285,U46252,11/10/2019,N47889,0,N38783,0,N18613,1
8289,U31652,11/12/2019,N64851,0,N63970,1,N58363,0
8313,U8054,11/9/2019 ,N41881,1,N47020,0,N51398,0
8322,U82544,11/10/2019,N61022,0,N49279,1,N44651,0
8401,U74300,11/11/2019,N53585,0,N54489,1,N46526,0
8428,U18214,11/11/2019,N55204,0,N55689,0,N53585,1
8436,U23129,11/11/2019,N55204,0,N55689,0,N53585,1
8449,U3546,11/10/2019,N61022,0,N21882,0,N49279,1
8614,U85644,11/9/2019 ,N41881,1,N51398,0,N27845,0
8692,U81319,11/9/2019 ,N47020,0,N1034,1,N36752,0
8730,U19270,11/11/2019,N53585,1,N55689,0,N13930,0
8842,U81422,11/10/2019,N36681,0,N57651,0,N49685,1
8932,U73189,11/10/2019,N49279,1,N44651,0,N61022,0
8954,U69851,11/11/2019,N13930,0,N23414,1,N55689,0
8998,U30422,11/11/2019,N32144,0,N55689,1,N6379,0
9008,U84526,11/11/2019,N55689,0,N53585,1,N41222,0
9053,U48932,11/12/2019,N12029,1,N33885,0,N42977,0
9214,U61822,11/11/2019,N55689,0,N53585,0,N23414,1
9259,U25402,11/11/2019,N50675,0,N23429,1,N33619,0
9296,U52067,11/10/2019,N61022,0,N59390,1,N44651,0
9349,U33672,11/11/2019,N33632,0,N27581,0,N49685,1
9359,U31855,11/9/2019 ,N47020,0,N1034,0,N65185,1
9452,U52274,11/9/2019 ,N47020,0,N65185,1,N1034,0
9453,U8128,11/14/2019,N50872,0,N35815,1,N63060,0
9489,U61583,11/10/2019,N61022,0,N49279,1,N21882,0
9506,U76673,11/10/2019,N21882,0,N49279,1,N61022,0
9580,U45465,11/11/2019,N55689,1,N53585,1,N23414,0
9636,U4008,11/9/2019 ,N25546,0,N50329,1,N2389,0
9696,U71010,11/10/2019,N49685,1,N36681,0,N57651,0
9715,U45414,11/9/2019 ,N27845,1,N47020,0,N52000,0
9796,U65218,11/12/2019,N64851,0,N58363,1,N63970,0
9823,U86503,11/13/2019,N36221,1,N56214,0,N4642,0
9829,U32229,11/11/2019,N23414,1,N53585,0,N55689,0
9832,U41432,11/11/2019,N16920,0,N31947,1,N64152,0
9892,U54806,11/11/2019,N55689,0,N21707,0,N35729,1
9901,U41387,11/9/2019 ,N65185,1,N1034,0,N47020,0
9934,U67601,11/11/2019,N24686,0,N55689,1,N60872,0
9955,U68843,11/10/2019,N28047,0,N49685,1,N64542,0
10028,U65666,11/10/2019,N49685,1,N36681,0,N57651,0
10029,U42649,11/11/2019,N55689,0,N53585,1,N55204,0
10053,U24053,11/12/2019,N58363,1,N63970,0,N40839,0
10085,U18506,11/13/2019,N53848,1,N33831,0,N4642,0
10166,U41694,11/13/2019,N47061,1,N61023,0,N45266,0
10169,U90317,11/10/2019,N44651,0,N49279,1,N36681,0
10171,U55125,11/11/2019,N6099,0,N13930,0,N58499,1
10184,U57121,11/11/2019,N55204,0,N38662,0,N13930,1
10200,U91265,11/11/2019,N27581,0,N35729,0,N6693,1
10256,U4308,11/13/2019,N51048,0,N4642,1,N36221,0
10395,U20209,11/11/2019,N53585,1,N52622,0,N55204,0
10402,U35581,11/10/2019,N41224,0,N49685,1,N36681,0
10466,U71108,11/11/2019,N23414,1,N46029,0,N54489,0
10479,U55483,11/11/2019,N53585,1,N55204,0,N38662,0
10516,U39035,11/11/2019,N55689,1,N16804,0,N6693,0
10583,U44945,11/9/2019 ,N51398,0,N27845,0,N41881,1
10608,U31879,11/11/2019,N50675,0,N33619,0,N23429,1
10650,U15317,11/14/2019,N5695,0,N50872,0,N35815,1
10658,U53738,11/11/2019,N55689,0,N23414,1,N13930,0
10692,U45867,11/9/2019 ,N52000,0,N47020,0,N27845,1
10734,U33409,11/9/2019 ,N41881,1,N47020,0,N51398,0
10811,U89388,11/11/2019,N13930,0,N23414,1,N55689,0
10831,U77006,11/10/2019,N44651,0,N61022,0,N49279,1
10906,U19825,11/11/2019,N55689,0,N45270,0,N53585,1
10940,U33134,11/9/2019 ,N23548,0,N1034,1,N47020,0
11008,U86766,11/11/2019,N43502,0,N55204,0,N13930,1
11026,U15765,11/9/2019 ,N23548,0,N41881,1,N47020,0
11037,U86020,11/12/2019,N20079,0,N50675,0,N33619,1
11160,U43946,11/10/2019,N49279,1,N61022,0,N21882,0
11194,U83346,11/9/2019 ,N1034,1,N36752,0,N47020,0
11227,U48426,11/14/2019,N19661,0,N35815,0,N40109,1
11281,U86217,11/14/2019,N1952,0,N20270,1,N50872,0
11404,U68089,11/11/2019,N50675,0,N33619,1,N23429,0
11522,U52900,11/9/2019 ,N47020,0,N1034,1,N23548,0
11523,U69361,11/10/2019,N36681,0,N49685,1,N57651,0
11541,U22509,11/10/2019,N49279,1,N61022,0,N44651,0
11545,U25673,11/10/2019,N57651,0,N49685,1,N36681,0
11560,U68200,11/11/2019,N23414,1,N55689,0,N53585,0
11635,U85848,11/13/2019,N56214,0,N50023,1,N4642,0
11652,U69516,11/11/2019,N53585,0,N23414,1,N55689,0
11669,U78285,11/13/2019,N287,1,N27198,0,N39010,0
11698,U54011,11/14/2019,N6578,1,N39931,0,N50872,0
11733,U72928,11/11/2019,N55689,1,N38662,0,N53585,0
11747,U14675,11/11/2019,N64152,0,N31947,0,N18708,1
11755,U39684,11/14/2019,N60750,1,N61233,0,N46917,0
11781,U57937,11/11/2019,N23414,1,N13930,0,N55689,0
11802,U82696,11/12/2019,N453,0,N50675,1,N33619,0
11804,U40038,11/10/2019,N49279,1,N21882,0,N61022,0
11808,U7844,11/9/2019 ,N1034,1,N47020,0,N36752,0
11826,U46974,11/10/2019,N2869,0,N64153,1,N8399,0
11890,U74889,11/9/2019 ,N36752,0,N47020,0,N1034,1
11967,U89439,11/9/2019 ,N27845,0,N51398,1,N47020,0
12060,U17769,11/11/2019,N64152,0,N50675,0,N33619,1
12110,U41209,11/11/2019,N23414,1,N55689,0,N13930,0
12111,U12262,11/12/2019,N12029,0,N33885,0,N42977,1
12129,U28167,11/11/2019,N13930,0,N55204,0,N53585,1
12157,U60159,11/9/2019 ,N65185,1,N1034,0,N47020,0
12162,U88439,11/11/2019,N53585,1,N13930,0,N55689,0
12194,U54875,11/9/2019 ,N27845,0,N41881,1,N51398,0
12234,U26187,11/11/2019,N55689,0,N55204,0,N53585,1
12345,U58100,11/9/2019 ,N41881,0,N47020,1,N51398,0
12374,U69467,11/11/2019,N43502,0,N55204,0,N13930,1
12508,U70668,11/14/2019,N24109,0,N58660,1,N55943,0
12511,U18392,11/10/2019,N49279,1,N61022,0,N44651,0
12530,U80042,11/11/2019,N56598,0,N555,0,N16804,1
12585,U76560,11/11/2019,N13930,0,N23414,1,N55689,0
12589,U15396,11/11/2019,N13930,0,N55689,0,N53585,1
12613,U37158,11/14/2019,N6816,0,N50872,0,N60272,1
12615,U78981,11/14/2019,N4021,0,N16419,1,N50872,0
12697,U70993,11/13/2019,N14029,0,N39010,0,N287,1
12708,U16898,11/11/2019,N27581,0,N6693,0,N55689,1
12713,U38272,11/9/2019 ,N57943,0,N21377,1,N42336,0
12792,U84779,11/11/2019,N453,0,N33619,1,N50675,0
12816,U47607,11/9/2019 ,N36752,1,N47020,0,N1034,0
12817,U10130,11/14/2019,N52867,1,N19661,0,N50872,0
12877,U40719,11/11/2019,N23414,0,N55689,0,N53585,1
12905,U44846,11/11/2019,N55689,1,N35729,0,N53585,0
12960,U7551,11/14/2019,N5695,1,N19661,0,N50872,0
12972,U55427,11/13/2019,N4642,0,N25295,0,N16844,1
12980,U52871,11/11/2019,N39331,0,N962,1,N55083,0
13027,U58477,11/11/2019,N42597,1,N54489,0,N46029,0
13041,U22259,11/9/2019 ,N27845,1,N52000,0,N59852,0
13059,U13970,11/11/2019,N13930,1,N55204,0,N38662,0
13086,U53874,11/11/2019,N55689,0,N53585,1,N13930,0
13129,U72608,11/12/2019,N64851,0,N12493,1,N33261,0
13160,U21274,11/9/2019 ,N51398,0,N41881,1,N27845,0
13288,U40314,11/11/2019,N555,0,N10688,1,N30135,0
13359,U81822,11/11/2019,N46029,0,N23414,1,N54489,0
13387,U18740,11/12/2019,N50675,0,N33619,1,N14184,0
13432,U90998,11/10/2019,N36681,0,N49685,1,N57651,0
13473,U46724,11/10/2019,N61022,0,N21882,0,N49279,1
13561,U82040,11/10/2019,N35729,1,N48759,0,N56193,0
13563,U72409,11/10/2019,N49685,1,N57651,0,N36681,0
13685,U67454,11/10/2019,N61022,0,N44651,0,N49279,1
13711,U65433,11/11/2019,N12523,0,N15830,0,N46751,1
13739,U89751,11/9/2019 ,N27845,1,N52000,0,N27525,0
13763,U24102,11/10/2019,N57651,0,N49685,1,N36681,0
13779,U93144,11/11/2019,N45270,1,N55204,0,N55689,0
13937,U64176,11/11/2019,N50675,0,N33619,1,N23429,0
13958,U9759,11/12/2019,N14184,0,N33619,1,N50675,0
14017,U20983,11/9/2019 ,N51398,0,N41881,0,N27845,1
14020,U10392,11/13/2019,N33501,0,N10913,0,N51048,1
14042,U2512,11/13/2019,N47061,0,N35170,1,N42977,0
14090,U43948,11/12/2019,N36599,1,N7821,0,N42977,0
14092,U66337,11/11/2019,N45270,0,N55689,1,N55204,0
14111,U29685,11/11/2019,N23414,1,N53585,0,N55689,0
14135,U65713,11/10/2019,N57651,0,N49685,1,N36681,0
14145,U88671,11/10/2019,N35729,1,N38783,0,N11830,0
14209,U11757,11/11/2019,N46029,0,N54489,0,N23414,1
14213,U38326,11/10/2019,N44651,0,N49279,1,N61022,0
14215,U46982,11/10/2019,N61022,0,N44651,0,N49279,1
14224,U90849,11/10/2019,N49279,1,N61022,0,N44651,0
14347,U91548,11/11/2019,N33619,1,N23429,0,N50675,0
14403,U65640,11/11/2019,N50675,1,N36789,0,N33619,0
14455,U82788,11/11/2019,N54489,0,N23414,1,N46029,0
14484,U54390,11/10/2019,N44651,0,N49279,1,N61022,0
14492,U255,11/14/2019,N57032,0,N19661,1,N52424,0
14633,U30436,11/11/2019,N55204,0,N55689,0,N53585,1
14685,U74086,11/11/2019,N23414,1,N13930,0,N55689,0
14783,U17946,11/9/2019 ,N23548,0,N1034,1,N47020,0
14792,U77196,11/12/2019,N50675,0,N49180,0,N33619,1
14794,U20765,11/10/2019,N28047,0,N48578,0,N49685,1
14815,U60094,11/14/2019,N23877,0,N50872,0,N40109,1
14822,U11101,11/11/2019,N46029,0,N54489,0,N23414,1
14832,U93768,11/10/2019,N36681,0,N57651,0,N49685,1
14834,U78824,11/12/2019,N58363,1,N63970,0,N64851,0
14863,U28303,11/11/2019,N55204,0,N55689,1,N45270,0
14891,U75517,11/11/2019,N54489,1,N23414,0,N46029,0
14896,U48465,11/14/2019,N38779,0,N23446,1,N50872,0
14908,U16078,11/11/2019,N35729,1,N27581,0,N57090,0
14972,U86107,11/13/2019,N51048,1,N53848,0,N33501,0
15003,U42204,11/12/2019,N50675,0,N33619,1,N7319,0
15056,U4776,11/10/2019,N17104,0,N7944,0,N64190,1
15073,U10185,11/9/2019 ,N65185,1,N1034,0,N47020,0
15077,U65201,11/11/2019,N54489,0,N23414,1,N46029,0
15085,U48758,11/10/2019,N49279,1,N61022,0,N21882,0
15092,U79210,11/11/2019,N32144,0,N62729,1,N49685,0
15129,U82692,11/11/2019,N50675,0,N33619,1,N453,0
15227,U79330,11/10/2019,N61022,0,N49279,1,N44651,0
15286,U7926,11/11/2019,N53585,1,N55204,0,N6379,0
15298,U67223,11/14/2019,N47098,0,N6477,0,N23446,1
15315,U25467,11/10/2019,N36681,0,N49279,1,N44651,0
15392,U92176,11/10/2019,N61022,0,N44651,0,N49279,1
15429,U59244,11/9/2019 ,N1034,0,N47020,1,N48958,0
15495,U61999,11/11/2019,N55689,1,N55204,0,N52622,0
15523,U30279,11/10/2019,N57651,0,N49685,1,N36681,0
15565,U2919,11/9/2019 ,N47020,0,N36752,0,N1034,1
15675,U58718,11/11/2019,N42597,1,N54489,0,N46029,0
15690,U29156,11/11/2019,N52622,0,N55204,0,N53585,1
15694,U19116,11/10/2019,N49685,1,N56193,0,N64542,0
15712,U88547,11/11/2019,N23429,1,N2823,0,N3179,0
15727,U19269,11/11/2019,N23414,1,N53585,0,N55689,0
15762,U88168,11/10/2019,N49685,1,N57651,0,N36681,0
15801,U12219,11/9/2019 ,N1034,1,N47020,0,N23548,0
15934,U13897,11/9/2019 ,N47020,0,N1034,0,N65185,1
15941,U62871,11/10/2019,N64542,0,N49685,1,N28047,0
15973,U18889,11/11/2019,N13930,0,N55689,0,N53585,1
15987,U76612,11/11/2019,N23414,1,N53585,0,N13930,0
16225,U93984,11/14/2019,N58660,1,N3957,0,N50872,0
16243,U51605,11/11/2019,N54489,0,N42597,1,N46029,0
16296,U55558,11/12/2019,N47578,0,N33619,1,N50675,0
16324,U32175,11/11/2019,N55689,1,N42961,0,N27581,0
16334,U91945,11/11/2019,N13930,1,N55689,0,N53585,0
16344,U93771,11/10/2019,N21882,0,N49279,1,N61022,0
16354,U28676,11/10/2019,N64916,0,N57097,1,N1034,0
16358,U14244,11/9/2019 ,N1034,0,N65185,1,N47020,0
16367,U79706,11/11/2019,N45270,1,N21707,0,N55204,0
16380,U41655,11/11/2019,N49685,0,N33632,1,N57090,0
16391,U91467,11/11/2019,N50675,0,N33619,0,N23429,1
16410,U12652,11/13/2019,N43487,0,N18059,0,N60550,1
16459,U30948,11/11/2019,N23414,0,N55689,0,N53585,1
16468,U52690,11/11/2019,N35729,1,N7809,0,N59981,0
16648,U65902,11/10/2019,N49685,1,N36681,0,N57651,0
16766,U39444,11/11/2019,N55689,0,N23414,1,N53585,0
16781,U3774,11/11/2019,N23414,1,N55689,0,N13930,0
16801,U53399,11/10/2019,N28047,0,N49685,1,N29128,0
16810,U5806,11/13/2019,N51048,0,N56214,1,N20746,0
16811,U24466,11/9/2019 ,N47020,0,N36752,0,N1034,1
16826,U58698,11/10/2019,N61022,0,N44651,0,N49279,1
16833,U34753,11/10/2019,N61022,0,N49279,1,N21882,0
16865,U72139,11/12/2019,N33885,0,N6890,0,N20495,1
16881,U89025,11/11/2019,N23429,1,N33619,0,N50675,0
16900,U33002,11/10/2019,N61022,0,N49279,1,N44651,0
16901,U84454,11/13/2019,N36624,1,N53848,0,N51048,0
16973,U69929,11/10/2019,N49279,1,N44651,0,N61022,0
17052,U54495,11/11/2019,N36789,0,N50675,0,N33619,1
17129,U83031,11/11/2019,N38662,0,N13930,1,N55204,0
17145,U43871,11/11/2019,N55689,0,N13930,0,N53585,1
17157,U37033,11/14/2019,N5695,0,N39931,1,N6578,0
17270,U40059,11/9/2019 ,N51398,0,N27845,0,N41881,1
17271,U44604,11/12/2019,N50675,0,N47578,0,N33619,1
17340,U54180,11/14/2019,N50872,0,N23814,1,N19661,0
17544,U54507,11/14/2019,N38779,1,N6578,0,N23446,0
17628,U87914,11/11/2019,N13930,0,N55689,1,N55204,0
17662,U59045,11/11/2019,N54489,0,N46029,0,N23414,1
17700,U19073,11/11/2019,N55204,0,N55689,1,N13930,0
17742,U69281,11/10/2019,N49279,1,N21882,0,N61022,0
17875,U21732,11/11/2019,N23414,1,N50469,1,N555,0
17916,U6767,11/14/2019,N41934,0,N29490,1,N6837,0
17952,U2073,11/10/2019,N49685,1,N36681,0,N57651,0
17953,U38326,11/12/2019,N7821,0,N12029,0,N17059,1
